x,symbol1,symbol2,symbol3,symbol4,symbol5,line1,line2,line3,line4,line5
5.8,28.0308,4.03515,6.94665,246.066,90.0891,26.62926,3.8333925,6.5993175,233.7627,85.584645
5.9,26.5466,4.03515,6.57883,243.978,90.0891,25.21927,3.8333925,6.2498885,231.7791,85.584645
6,55.5275,4.03515,13.7609,244.325,89.2803,52.751125,3.8333925,13.072855,232.10875,84.816285
6.1,110.474,4.03515,27.378,247.14,88.308,104.9503,3.8333925,26.0091,234.783,83.8926
6.2,133.369,4.03515,33.0519,249.012,88.4639,126.70055,3.8333925,31.399305,236.5614,84.040705
6.3,133.015,4.03515,32.964,250.228,89.0774,126.36425,3.8333925,31.3158,237.7166,84.62353
6.4,124.052,4.03515,30.7428,251.139,89.6363,117.8494,3.8333925,29.20566,238.58205,85.154485
6.5,114.19,4.03515,28.2989,251.924,89.9953,108.4805,3.8333925,26.883955,239.3278,85.495535
6.6,105.877,4.03515,26.2388,252.649,90.1826,100.58315,3.8333925,24.92686,240.01655,85.67347
6.7,85.1363,4.03515,21.0987,253.051,90.5916,80.879485,3.8333925,20.043765,240.39845,86.06202
6.8,73.1764,4.03515,18.1347,253.594,90.6321,69.51758,3.8333925,17.227965,240.9143,86.100495
6.9,66.5441,4.03515,16.4911,254.175,90.539,63.216895,3.8333925,15.666545,241.46625,86.01205
7,62.384,4.03515,15.4601,254.736,90.4274,59.2648,3.8333925,14.687095,241.9992,85.90603
7.1,59.4735,4.03515,14.7388,255.257,90.3315,56.499825,3.8333925,14.00186,242.49415,85.814925
7.2,57.2314,4.03515,14.1832,255.732,90.2573,54.36983,3.8333925,13.47404,242.9454,85.744435
7.3,55.3729,4.03515,13.7226,256.161,90.2032,52.604255,3.8333925,13.03647,243.35295,85.69304
7.4,53.7448,4.03515,13.3191,256.544,90.1646,51.05756,3.8333925,12.653145,243.7168,85.65637
7.5,52.2515,4.03515,12.9491,256.888,90.1371,49.638925,3.8333925,12.301645,244.0436,85.630245
7.6,50.8466,4.03515,12.6009,257.194,90.1179,48.30427,3.8333925,11.970855,244.3343,85.612005
7.7,49.495,4.03515,12.266,257.467,90.1046,47.02025,3.8333925,11.6527,244.59365,85.59937
7.8,48.1799,4.03515,11.9401,257.71,90.0953,45.770905,3.8333925,11.343095,244.8245,85.590535
7.9,46.8937,4.03515,11.6213,257.928,90.0888,44.549015,3.8333925,11.040235,245.0316,85.58436
8,45.6263,4.03515,11.3072,258.121,90.0842,43.344985,3.8333925,10.74184,245.21495,85.57999
8.1,44.3738,4.03515,10.9968,258.293,90.0814,42.15511,3.8333925,10.44696,245.37835,85.57733
8.2,43.1342,4.03515,10.6896,258.447,90.0786,40.97749,3.8333925,10.15512,245.52465,85.57467
8.3,41.9062,4.03515,10.3853,258.583,90.077,39.81089,3.8333925,9.866035,245.65385,85.57315
8.4,40.6894,4.03515,10.0837,258.705,90.0754,38.65493,3.8333925,9.579515,245.76975,85.57163
8.5,39.5639,4.03515,9.80481,258.761,90.0721,37.585705,3.8333925,9.3145695,245.82295,85.568495
